,loss_list,val_acc_list,train_acc_list
0,43.66058241493741,50.4,55.46875
1,43.82146137314543,54.5,41.40625
2,39.76042361500642,76.45,77.34375
3,30.686481690328122,87.2,85.9375
4,25.373267566207566,90.8,84.375
5,22.997182261274716,92.05,90.625
6,21.534178094083785,92.2,92.1875
7,20.57627475148487,91.375,93.75
8,19.835549546289247,91.7,90.625
9,19.27614981028005,92.675,91.40625
