,loss_list,val_acc_list,train_acc_list
0,42.52484692308797,71.13221694576356,72.86821705426357
1,39.31693633507357,78.03049237690577,75.96899224806202
2,34.879712109477566,84.22894276430893,88.37209302325581
3,29.953869217342245,90.77730567358161,93.7984496124031
4,27.268377427773515,93.05173706573356,93.02325581395348
5,25.987268087652396,92.67683079230193,89.92248062015504
6,25.177343958662355,92.35191202199451,96.12403100775194
7,24.656927687854843,92.77680579855036,96.89922480620154
8,24.257647816516357,91.95201199700075,95.34883720930233
9,23.988192423874615,92.10197450637341,93.7984496124031
