,loss_list,val_acc_list,train_acc_list
0,43.40143445584016,60.08497875531117,56.58914728682171
1,41.157639221515026,69.95751062234442,74.4186046511628
2,39.107165100575166,70.35741064733817,77.51937984496124
3,37.91836161943848,71.65708572856786,77.51937984496124
4,32.38045939611353,76.55586103474131,90.69767441860465
5,27.274061281140998,80.62984253936516,94.57364341085271
6,25.482900498213,84.00399900024993,92.24806201550388
7,24.577884547608427,86.70332416895776,93.02325581395348
8,24.168238845816056,88.87778055486129,91.47286821705427
9,23.755561710469273,89.02774306423395,96.12403100775194
